step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,lambda,alpha,replay_size
500,300000,2,20,-0.12162227437647807,0.0,-0.41990677946576727,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.20000000298023224,500
1000,300000,4,40,-0.4261985585846839,0.0,-9.484631818649442,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.19993998110294342,1000
1500,300000,6,60,-1.098974463903187,0.0,-51.209436197932334,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.17224392294883728,1500
2000,300000,8,80,-0.5947356802095283,0.0,-43.940550952337574,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.14890694618225098,2000
2500,300000,10,100,-0.013125216766570703,0.0,-14.854744610843737,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.12896913290023804,2500
3000,300000,12,120,-0.5879090159706405,0.0,-37.12673274541738,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.11174006015062332,3000
3500,300000,14,140,0.1090218801513285,0.0,-7.605171145441583,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.09688178449869156,3500
4000,300000,16,160,-0.2732595712561317,0.0,-4.12685038527256,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.08398573845624924,4000
4500,300000,20,99,-0.2088597751176269,0.0,-3.0235873879111894,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.07293859124183655,4500
5000,300000,24,64,0.13618696462743524,0.0,-2.144776525185208,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.06363987922668457,5000
5500,300000,26,84,0.1649626639365125,0.0,-0.32320547700612823,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.05579294264316559,5500
6000,300000,28,234,-0.20665837618832714,0.0,-21.56759488245422,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.04906650632619858,6000
6500,300000,34,32,0.12936902086435634,0.0,2.6421835985232067,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.04325799271464348,6500
7000,300000,38,153,-0.18558738610980782,0.0,-12.4729866645562,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.038084398955106735,7000
7500,300000,41,169,-0.02410642022763568,0.0,-6.486480517219404,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.03374766558408737,7500
8000,300000,44,161,0.052358524550265344,0.0,-3.98213057663318,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.03001975454390049,8000
8500,300000,49,147,-0.18437054717484103,0.0,-18.271808497816625,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.02682039886713028,8500
