episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,240,-325.02009180973556,279.54158632829785,240,0,0,0.25833333333333336,0.03334648907184601,0.38975660970124104,0.0,0.20000000298023224
2,290,-136.2437326204898,104.27168473601341,50,0,1,0.44,-0.001516990945674479,0.6054336947202682,0.0,0.20000000298023224
3,327,-113.80506548574829,66.0007461309433,37,0,1,0.32432432432432434,0.007951466366648674,0.5946147602957648,0.0,0.20000000298023224
4,368,-60.764013503972485,50.468042597174644,41,0,1,0.1951219512195122,0.06317877024412155,0.45044006334572306,0.0,0.20000000298023224
5,515,-199.671866547205,164.0377858672291,147,0,1,0.23129251700680273,-0.0004765695193782449,0.3676039854913544,0.0,0.20000000298023224
6,551,-133.3974203522328,100.06890159845352,36,0,1,0.6111111111111112,-0.008342115208506584,0.7241361555125978,0.0,0.20000000298023224
7,575,-63.25374217631379,50.39704579114914,24,0,1,0.375,-0.011914251372218132,0.6415435746312141,0.0,0.20000000298023224
8,815,-206.46548508164662,170.10228710621595,240,0,0,0.125,0.020565643906593323,0.33375952960923316,0.0,0.20000000298023224
9,850,-49.75773256129453,42.40460877120495,35,0,1,0.17142857142857143,0.09055208414793015,0.4687031077487128,0.0,0.20000000298023224
10,1090,-308.0304812271586,195.6971479859203,240,0,0,0.16666666666666666,0.012960156425833702,0.315404783274668,0.0,0.1946326643228531
11,1115,-36.9025810951769,24.898895919322968,25,0,1,0.08,0.09257044643163681,0.4359558367729187,0.0,0.193187415599823
12,1355,-231.45162038602538,101.39667692035437,240,0,0,0.07083333333333333,0.061171989887952805,0.20998615383480987,0.0,0.1799631416797638
13,1399,-114.52733290950744,77.80959525704384,44,0,1,0.3409090909090909,-0.010436729528009892,0.5638544376600872,0.0,0.17765961587429047
14,1400,19.82600260316893,0.3044654428958893,1,1,0,0.0,0.41495978832244873,0.3044654428958893,0.0,0.17760756611824036
15,1476,-66.52213779368648,44.25010583922267,76,0,1,0.05263157894736842,0.08214851468801498,0.319080339989772,0.0,0.1736832559108734
16,1498,-44.829470642490875,39.05401647090912,22,0,1,0.2727272727272727,0.017977779731154442,0.5933643850413236,0.0,0.17256557941436768
17,1575,-73.70580937888879,41.93261781707406,77,0,1,0.05194805194805195,0.0961555764079094,0.28483919242953326,0.0,0.16872893273830414
18,1631,-169.0714427424834,110.70855776965618,56,0,1,0.4107142857142857,-0.00346276699565351,0.6019385316010032,0.0,0.1660192906856537
19,1660,-60.15684835072656,48.08224460482597,29,0,1,0.27586206896551724,-0.014019244350492954,0.5545601587871025,0.0,0.16463755071163177
20,1900,-154.72785068749025,140.57269944250584,240,0,0,0.1,0.05554383620619774,0.285719581010441,0.0,0.1537390500307083
21,2140,-221.0321019881375,194.09839236550033,240,0,0,0.15833333333333333,0.059616219252347946,0.33374330152291803,0.0,0.14371635019779205
22,2178,-50.68069458639815,35.628649175167084,38,0,1,0.10526315789473684,0.07465030997991562,0.41128024145176534,0.0,0.14221878349781036
23,2227,-145.4873480533423,70.41369441896677,49,0,1,0.2653061224489796,-0.009279712103307247,0.4778304983462606,0.0,0.14034369587898254
24,2269,-57.29968738589593,50.39516079425812,42,0,1,0.19047619047619047,0.03698606416583061,0.43798001891090754,0.0,0.13877922296524048
25,2296,-62.99464476758533,37.12858784198761,27,0,1,0.18518518518518517,0.06359460204839706,0.5232810311847262,0.0,0.137788325548172
26,2339,-154.5658426120534,117.39066863059998,43,0,1,0.6046511627906976,-0.0020211392547935247,0.7300155495488366,0.0,0.13624729216098785
27,2579,-260.9084495015328,245.83623255044222,240,0,0,0.23333333333333334,0.04517186060547829,0.32431763562684257,0.0,0.12819644808769226
28,2618,-114.27033358071212,97.36871036887169,39,0,1,0.5384615384615384,-0.006919280160218477,0.6761207786890177,0.0,0.12695422768592834
29,2631,-50.05815986025917,45.85982084274292,13,0,1,0.6923076923076923,0.0068714674562215805,0.8353708340571477,0.0,0.12654414772987366
30,2871,-265.40707303076533,183.9391115847975,240,0,0,0.16666666666666666,0.05411680415272713,0.2664129649366563,0.0,0.11931371688842773
31,2934,-65.18967657153055,39.78442809730768,63,0,1,0.047619047619047616,0.08769812434911728,0.3616575888461537,0.0,0.11747776716947556
32,2965,-56.10473232365716,52.02655145525932,31,0,1,0.2903225806451613,-0.004943301901221275,0.5492435953309459,0.0,0.11658647656440735
