step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,100000,1,48,-4.061584254921483,3.800000011920929,-75.87344446033333,59.04589009284973,0.800000011920929,0.07837124913930893,0,0,0.0,0.20000000298023224,100
200,100000,1,148,-0.7361001762762374,0.05653070658445358,-211.9159900199185,153.2373437359929,0.05653070658445358,0.41839656233787537,0,0,0.0,0.20000000298023224,200
300,100000,2,8,-5.072240582045817,3.866687595844269,-30.112621442760066,21.366752803325653,0.8666875958442688,0.08607131242752075,0,0,0.0,0.20000000298023224,300
400,100000,3,70,-0.7978148938976282,0.13252997398376465,-86.08153861114849,59.96725909411907,0.13252997398376465,0.29368454217910767,0,0,0.0,0.20000000298023224,400
500,100000,3,170,-4.782093516801288,3.812564432621002,-225.8822747797128,116.97238022461534,0.8125644326210022,0.044872134923934937,0,0,0.0,0.20000000298023224,500
600,100000,4,30,-4.535294437653111,3.824112832546234,-51.271075772748134,26.551451086997986,0.8241128325462341,0.09380855411291122,0,0,0.0,0.20000000298023224,600
700,100000,4,130,-0.7791725995440881,0.3252761960029602,-200.3137837107282,126.40548592992127,0.3252761960029602,0.2854040563106537,0,0,0.0,0.20000000298023224,700
800,100000,5,5,-1.505760057367644,0.37197160720825195,-8.539429988551648,2.078079789876938,0.37197160720825195,0.22930757701396942,0,0,0.0,0.20000000298023224,800
900,100000,8,21,-1.1505483074897465,0.7509326934814453,-18.765252187264803,8.715713948011398,0.7509326934814453,0.1447877436876297,0,0,0.0,0.20000000298023224,900
1000,100000,10,72,-0.12727806799999714,0.15234676003456116,-95.80297222728677,87.53738674148917,0.15234676003456116,0.4505649209022522,0,0,0.0,0.19993998110294342,1000
1100,100000,10,172,-4.110315953323188,3.9131118655204773,-210.3723729355468,187.91699146293104,0.9131118655204773,0.10133212059736252,0,0,0.0,0.194045752286911,1100
1200,100000,13,11,-0.947435359841238,0.6406909823417664,-6.006400464904152,4.570835322141647,0.6406909823417664,0.20183341205120087,0,0,0.0,0.18837891519069672,1200
1300,100000,13,111,-0.5924937489898907,0.14811357855796814,-110.10619184673263,94.07899779640138,0.14811357855796814,0.46945157647132874,0,0,0.0,0.18293404579162598,1300
1400,100000,13,211,-0.44012144320508706,0.07456992566585541,-188.2487710497398,129.84970149211586,0.07456992566585541,0.45504069328308105,0,0,0.0,0.17768123745918274,1400
1500,100000,14,71,-1.2696104525239438,0.23086237907409668,-189.1247005976547,130.01096545904875,0.23086237907409668,0.2207605391740799,0,0,0.0,0.17263279855251312,1500
1600,100000,14,171,-1.4590839899527512,0.7419363856315613,-294.2758612917353,154.68964677117765,0.7419363856315613,0.1257626861333847,0,0,0.0,0.16777954995632172,1600
1700,100000,15,31,-4.1834588494482485,3.800000011920929,-55.9358178726776,51.79665105044842,0.800000011920929,0.017589429393410683,0,0,0.0,0.16310390830039978,1700
1800,100000,16,11,-0.9539632915234827,0.4401349127292633,-8.523654724510074,3.4890256524086,0.4401349127292633,0.27862370014190674,0,0,0.0,0.1586153358221054,1800
1900,100000,19,21,-1.0244414685846461,0.2571659982204437,-16.849203868563635,3.515568286180496,0.2571659982204437,0.30173641443252563,0,0,0.0,0.15427792072296143,1900
2000,100000,19,121,-1.342003307547657,0.1551455706357956,-217.9665911207456,109.3661839812994,0.1551455706357956,0.31086087226867676,0,0,0.0,0.15007324516773224,2000
2100,100000,22,10,-0.5558681073934895,0.34291303157806396,-4.214050547315007,2.7577155083417892,0.34291303157806396,0.24680288136005402,0,0,0.0,0.14603301882743835,2100
2200,100000,22,110,-0.8782796744177006,0.2780410647392273,-306.6161473711064,270.7188368588686,0.2780410647392273,0.19704662263393402,0,0,0.0,0.1421184539794922,2200
2300,100000,24,5,-0.5868953121598326,0.2389715611934662,-2.845085185219056,1.2314528673887253,0.2389715611934662,0.3459971845149994,0,0,0.0,0.1383160799741745,2300
2400,100000,24,105,-0.9463469102771443,0.2960401475429535,-195.9437640089776,143.2908388376236,0.2960401475429535,0.3713635206222534,0,0,0.0,0.13463295996189117,2400
2500,100000,26,51,-4.044988246171853,3.8798683285713196,-103.0432601490879,95.02010232955217,0.8798683285713196,0.017492299899458885,0,0,0.0,0.1310638189315796,2500
2600,100000,29,36,-0.49441672287531335,0.2049216628074646,-11.743647887283188,4.292597431689501,0.2049216628074646,0.31807830929756165,0,0,0.0,0.12763762474060059,2600
2700,100000,29,136,-4.1614059867984645,3.8188253045082092,-229.63825150640508,205.684523422271,0.8188253045082092,0.02498948574066162,0,0,0.0,0.1243516355752945,2700
2800,100000,31,11,-0.8505916926670227,0.5364812016487122,-6.759849322046557,3.679542914032936,0.5364812016487122,0.22839556634426117,0,0,0.0,0.12122658640146255,2800
2900,100000,31,111,-0.7435760363389295,0.2786233723163605,-79.52830088436059,46.021141186356544,0.2786233723163605,0.19893772900104523,0,0,0.0,0.11819145828485489,2900
3000,100000,31,211,-0.3315655434542544,0.2034236639738083,-179.59582882289433,122.05171266570687,0.2034236639738083,0.23706914484500885,0,0,0.0,0.11521988362073898,3000
3100,100000,32,71,-0.6602941457873638,0.06714873760938644,-60.6413112627768,23.90863236039877,0.06714873760938644,0.3911140561103821,0,0,0.0,0.11234233528375626,3100
3200,100000,32,171,-0.387061683087625,0.06372019648551941,-194.0627590629692,126.3231006860733,0.06372019648551941,0.39926448464393616,0,0,0.0,0.10953729599714279,3200
3300,100000,33,31,-1.2740620825312363,0.5717973113059998,-21.42666192847298,9.886524230241776,0.5717973113059998,0.17209230363368988,0,0,0.0,0.10676601529121399,3300
3400,100000,33,131,-0.8443440271851412,0.12961433827877045,-270.71007933707284,157.13687348365784,0.12961433827877045,0.29669734835624695,0,0,0.0,0.10404965281486511,3400
