step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
500,50000,7,56,-0.3230267346945018,3.857318937778473,-9.810214660764855,32.97651072591543,0.8573189377784729,0.07642053067684174,0,0,0.10924120853317136,0.20000000298023224,500
1000,50000,15,34,-0.6795149906055125,0.4743735194206238,-16.33108671149066,9.234167098999023,0.4743735194206238,0.18557794392108917,0,0,0.13537657275874979,0.19993998110294342,1000
1500,50000,22,105,-0.7922487592805467,0.13327056169509888,-69.86592251327892,78.86825053207576,0.13327056169509888,0.614535391330719,0,0,0.17241836903776975,0.17266036570072174,1500
2000,50000,26,3,-0.2634116643466203,0.7657591700553894,-0.5025390516768674,2.0928547382354736,0.7657591700553894,0.14978741109371185,0,0,0.19669614105143443,0.14984069764614105,2000
2500,50000,33,45,-0.28242699027157764,3.8505993485450745,-20.707012588952168,42.48384866118431,0.8505993485450745,0.10678594559431076,0,0,0.2484884340927323,0.13052727282047272,2500
3000,50000,38,104,-0.1385820341821912,0.42908069491386414,-22.11521464927673,205.99791888147593,0.42908069491386414,0.14305949211120605,0,0,0.28483749529917485,0.1136135458946228,3000
3500,50000,40,124,-0.6742755233991921,0.0772860199213028,-62.302748750082536,15.613693689927459,0.0772860199213028,0.3698215186595917,0,0,0.3003260914527257,0.09884718805551529,3500
4000,50000,42,144,-0.3975648437228804,0.1453026980161667,-54.43504315479861,141.53223490342498,0.1453026980161667,0.4176400601863861,0,0,0.3134756745331184,0.0856347307562828,4000
4500,50000,44,218,-0.23991497336015422,0.1922924667596817,-51.510233458303325,193.76536480523646,0.1922924667596817,0.2443736493587494,0,0,0.3253451073100116,0.07435391843318939,4500
5000,50000,46,238,0.037375935273682256,0.08039617538452148,-48.52741104825947,51.83909901417792,0.08039617538452148,0.36398014426231384,0,0,0.33594806913675207,0.06483594328165054,5000
5500,50000,50,35,-0.3641406922332362,0.3522087037563324,-14.19824041118081,15.49346148967743,0.3522087037563324,0.1672459989786148,0,0,0.3534772069151616,0.056772343814373016,5500
6000,50000,52,127,-0.06463331372538626,0.08919583261013031,-19.567250111595694,26.34366817586124,0.08919583261013031,0.5266901850700378,0,0,0.36226243646809486,0.049965180456638336,6000
6500,50000,55,32,-0.27636704846559157,0.36400529742240906,-7.525550402017727,6.992727242410183,0.36400529742240906,0.23134000599384308,0,0,0.37340749201143186,0.044162534177303314,6500
7000,50000,58,8,-0.14246328909939002,0.07277106493711472,-2.2768509606485896,0.5900541171431541,0.07277106493711472,0.46967196464538574,0,0,0.3833546369855078,0.03902003541588783,7000
7500,50000,60,28,-0.1759499539687119,0.1012607291340828,-2.013220442242699,5.597579941153526,0.1012607291340828,0.33077919483184814,0,0,0.38865498389011055,0.03461413457989693,7500
8000,50000,62,48,-0.17834415649129398,0.2593819200992584,-11.936725113087936,21.625266030430794,0.2593819200992584,0.2058737426996231,0,0,0.3930346889749248,0.030766626819968224,8000
8500,50000,65,229,-0.20010808999438381,0.14363762736320496,-75.80801558311683,170.50684762001038,0.14363762736320496,0.29076725244522095,0,0,0.39841105248792735,0.0274816881865263,8500
9000,50000,68,9,-0.26114374643369564,0.08963155001401901,-2.1373787677791425,0.7580412030220032,0.08963155001401901,0.4199625849723816,0,0,0.403381295262883,0.024866918101906776,9000
9500,50000,70,57,-0.19200694047054667,0.10665388405323029,-23.950173362346327,7.477373197674751,0.10665388405323029,0.3379027843475342,0,0,0.40582382808291284,0.02283894643187523,9500
10000,50000,72,77,-0.33164414651253943,0.10695885866880417,-15.876347810424665,18.373274015262723,0.10695885866880417,0.6828014254570007,0,0,0.4073216835039847,0.020925860852003098,10000
10500,50000,75,108,0.011298491867507589,0.19512610137462616,-5.590667225818254,24.214785182848573,0.19512610137462616,0.31796005368232727,0,0,0.40804961197969486,0.019117513671517372,10500
