episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,141,-23.052227287718484,192.53460477665067,141,0,1,0.28368794326241137,-0.0006279071094468236,0.45769223245851537,0.10040774682544912,0.20000000298023224
2,180,-8.35910153165611,55.20927223563194,39,0,1,0.23076923076923078,0.04631858691573143,0.5181864675803062,0.10122791749213388,0.20000000298023224
3,214,-7.675023462307027,75.12235480546951,34,0,1,0.4411764705882353,-0.0005174806574359536,0.650657494278515,0.10283682013732953,0.20000000298023224
4,255,-15.625608236525663,39.78533522039652,41,0,1,0.12195121951219512,0.09449071437120438,0.4093984200096712,0.10457546466514829,0.20000000298023224
5,344,-27.669972714089784,130.26628758013248,89,0,1,0.30337078651685395,-0.003489656141027808,0.4636661525857583,0.106684010042869,0.20000000298023224
6,369,-3.866857127477001,51.39151495695114,25,0,1,0.36,-0.01496805064380169,0.6556605982780457,0.10943995845084269,0.20000000298023224
7,407,-16.005354919432932,47.68286083638668,38,0,1,0.18421052631578946,0.09095483273267746,0.4916542325364916,0.11241051550205436,0.20000000298023224
8,478,-20.57813911960938,81.46579195559025,71,0,1,0.2112676056338028,-0.00329492031596601,0.40092664726183447,0.11553124746095608,0.20000000298023224
9,531,-11.252439593059474,63.16487618535757,53,0,1,0.20754716981132076,0.02516857720911503,0.41820521104448244,0.11881683788026515,0.20000000298023224
10,560,-24.79348426530119,41.43146055936813,29,0,1,0.20689655172413793,-0.002111518755555153,0.5321193296333839,0.12237748430549442,0.20000000298023224
11,595,-19.688844728736317,59.49702888727188,35,0,1,0.3142857142857143,-0.003057249588891864,0.5284865396363395,0.12633505596499467,0.20000000298023224
12,630,-21.429812488557566,63.898028790950775,35,0,1,0.34285714285714286,-0.015364086255431175,0.5685151083128793,0.1307325780242478,0.20000000298023224
13,657,-4.523346533129799,62.387791097164154,27,0,1,0.4444444444444444,-0.004310749936848879,0.6810292998949686,0.13579055344530055,0.20000000298023224
14,658,20.044095004732675,0.2326914221048355,1,1,0,0.0,0.5238364338874817,0.2326914221048355,0.1404369758063531,0.20000000298023224
15,724,-14.839877573695093,64.1221456900239,66,0,1,0.15151515151515152,-0.003552274778485298,0.3957900862124833,0.14506185088033802,0.20000000298023224
