episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,67,-6.9624628695131605,35.484293051064014,67,0,1,0.04477611940298507,0.0862819030880928,0.2758849709114032,0.0999148081570975,0.20000000298023224
2,101,-32.57395792831862,92.70699426531792,34,0,1,0.5882352941176471,-0.0026504003908485174,0.7266763019211152,0.10084721405730067,0.20000000298023224
3,126,-28.296579716773394,40.91747209429741,25,0,1,0.24,0.04070429131388664,0.5966988837718964,0.10220134910437963,0.20000000298023224
4,366,-107.36777986891009,157.70923134870827,240,0,0,0.1375,0.0027114294935017824,0.24462179728628447,0.10346633829774779,0.20000000298023224
5,384,-3.9680011194156393,68.00249320268631,18,0,1,0.8333333333333334,-0.0018503969768062234,0.8334718445936838,0.10620703617596661,0.20000000298023224
6,415,-25.713413838391638,74.11297725141048,31,0,1,0.4838709677419355,-0.00012842357682529837,0.681063782303564,0.10965606976110367,0.20000000298023224
7,441,-12.136459298913392,51.58139395713806,26,0,1,0.34615384615384615,-0.008161463774740696,0.6377459214283869,0.113574601550775,0.20000000298023224
8,681,-17.428914821383376,209.260547561571,240,0,0,0.17916666666666667,0.0027974762488156557,0.3344189481732125,0.11738316622504938,0.20000000298023224
9,719,-7.426495932029936,36.417371183633804,38,0,1,0.10526315789473684,0.09292798489332199,0.43203608377983693,0.1211304786022368,0.20000000298023224
10,783,-30.04252555957271,119.33290793001652,64,0,1,0.390625,-0.0025817507412284613,0.5677016864065081,0.1252727137037681,0.20000000298023224
11,804,-7.50029910638624,24.38217218220234,21,0,1,0.09523809523809523,0.08762264996767044,0.4943891515334447,0.1294383649593229,0.20000000298023224
12,1044,-39.974039990848866,139.1747082164511,240,0,0,0.1,0.0439731739461422,0.2798946175685463,0.13333568096088422,0.19731633365154266
13,1078,-29.798154797541013,30.25419247150421,34,0,1,0.08823529411764706,0.08748195320367813,0.38982919033835917,0.13713304575753665,0.19531473517417908
14,1318,-14.10249618184646,51.86003073118627,240,0,0,0.0,0.13550959527492523,0.2160834613799428,0.14049858404504645,0.1817949116230011
15,1387,-18.648993052482037,46.49960999190807,69,0,1,0.08695652173913043,0.08006497472524643,0.297095796984175,0.14368279911377427,0.17810149490833282
16,1427,-7.568289315547124,65.32838729023933,40,0,1,0.3,-0.00685499794781208,0.5332096822559833,0.1471744082701937,0.1760023534297943
17,1523,-43.261397367611984,90.65419489145279,96,0,1,0.17708333333333334,-0.003528134897351265,0.3297311967859666,0.15061359423385182,0.1710740029811859
18,1596,-61.374070649299426,105.24149461090565,73,0,1,0.273972602739726,-0.006240470334887505,0.5101574604233651,0.15425165305419625,0.16744747757911682
19,1707,-33.17227458421498,137.0662644095719,111,0,1,0.24324324324324326,-0.007251845672726631,0.43302940909524223,0.15797522453897198,0.16211281716823578
20,1738,-4.277595178806078,26.0324734300375,31,0,1,0.06451612903225806,0.09158242493867874,0.38814430419475804,0.1615824960532192,0.16065646708011627
21,1928,15.707175705505165,110.51700277626514,190,1,0,0.1,0.05994340777397156,0.2816684356645534,0.16495023820958632,0.1520465612411499
22,1968,-16.572666685025105,44.07416884601116,40,0,1,0.15,0.05811811611056328,0.45185422115027907,0.16835052036871023,0.15029539167881012
23,2007,-39.604049445441554,43.22610856592655,39,0,1,0.15384615384615385,0.0320507250726223,0.44169509143401414,0.17178496929892828,0.1486191302537918
24,2069,-7.799685942573026,105.62255319207907,62,0,1,0.3548387096774194,0.006821254268288612,0.5100411805174043,0.17554949056644253,0.14599061012268066
25,2107,-23.683979659920617,70.29534237086773,38,0,1,0.34210526315789475,-0.01069046650081873,0.6130353255491507,0.17970072448598723,0.144400954246521
