episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,70,-5.590541763834449,36.190687354654074,70,0,1,0.05714285714285714,0.08626202493906021,0.33129553363791536,0.0999835049096761,0.20000000298023224
2,118,-33.372011753210565,72.80803503096104,48,0,1,0.3958333333333333,-0.007162502035498619,0.6210007298116883,0.10045125160544091,0.20000000298023224
3,151,-41.5855974008912,49.936236917972565,33,0,1,0.36363636363636365,0.028324836865067482,0.6344314217567444,0.10137722061668979,0.20000000298023224
4,186,-13.914665503469458,28.733020946383476,35,0,1,0.11428571428571428,0.06532924622297287,0.44951488418238505,0.1023923629051817,0.20000000298023224
5,426,-18.056107808968488,112.58217143826187,240,0,0,0.09583333333333334,0.07667097449302673,0.2774257143260911,0.10331629426974538,0.20000000298023224
6,444,-20.07937869078452,38.89522549510002,18,0,1,0.5555555555555556,-0.004935296252369881,0.7719569719500012,0.10499945199650033,0.20000000298023224
7,468,-13.289846685487223,41.18877938389778,24,0,1,0.4166666666666667,-0.0056521352380514145,0.6745324743290743,0.1071815514074154,0.20000000298023224
8,505,-8.802518158212404,31.529094964265823,37,0,1,0.13513513513513514,0.06641199439764023,0.44673229633150874,0.10940561469865319,0.20000000298023224
9,555,-7.98614264095348,63.594358026981354,50,0,1,0.32,-0.0013227543095126748,0.531887160539627,0.1118794184055989,0.20000000298023224
10,795,-201.1942830630421,128.39905118197203,240,0,0,0.14166666666666666,0.04766028746962547,0.25166271325821676,0.11422202995049309,0.20000000298023224
11,817,-8.853942040552447,19.83845889568329,22,0,1,0.09090909090909091,0.10044010728597641,0.4926572225310586,0.11662338498395355,0.20000000298023224
12,1057,-117.31021540088918,77.85730730183423,240,0,0,0.058333333333333334,0.07637245208024979,0.20773878042430927,0.11879187498928648,0.19654981791973114
13,1087,-20.502131816091815,31.875122860074043,30,0,1,0.2,0.012615611776709557,0.49583742866913477,0.12110819254202067,0.1947937160730362
14,1088,20.064055091193897,0.27734410762786865,1,1,0,0.0,0.4171397089958191,0.27734410762786865,0.12317236627093207,0.19473540782928467
15,1137,-23.680218232612393,34.780404560267925,49,0,1,0.12244897959183673,0.09532680362462997,0.36286539918914135,0.12521323340074758,0.1919006109237671
