episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,lambda,alpha
1,61,-40.27639837532415,35.2802560031414,61,0,1,0.04918032786885246,0.0926445797085762,0.29967632792035087,0.0,0.20000000298023224
2,290,-520.3140250197501,222.012713432312,229,0,1,0.2052401746724891,0.0014498925302177668,0.31883280974808736,0.0,0.20000000298023224
3,323,-103.11300836243792,65.01771631836891,33,0,1,0.36363636363636365,0.03224850818514824,0.6369004944960276,0.0,0.20000000298023224
4,360,-68.93669217371223,54.64630913734436,37,0,1,0.24324324324324326,0.005121121183037758,0.530981328036334,0.0,0.20000000298023224
5,533,-66.35041967594405,75.77977060712874,173,1,0,0.08670520231213873,0.08917582035064697,0.17791774917415457,0.0,0.20000000298023224
6,557,-72.23624761014236,50.66737449169159,24,0,1,0.375,-0.006527839228510857,0.6528072704871496,0.0,0.20000000298023224
7,581,-64.67417552841584,47.14972732961178,24,0,1,0.3333333333333333,-0.006171947345137596,0.6312386387338241,0.0,0.20000000298023224
8,615,-57.357601792949275,45.58017934858799,34,0,1,0.20588235294117646,0.05987304076552391,0.4876523337819997,0.0,0.20000000298023224
9,650,-48.00301177760165,38.49282881617546,35,0,1,0.14285714285714285,0.05567702278494835,0.44265225189072743,0.0,0.20000000298023224
10,890,-371.85418470731605,195.97408287599683,240,0,0,0.1875,0.04326457157731056,0.25405867864998677,0.0,0.20000000298023224
11,912,-32.89786623065883,25.090680330991745,22,0,1,0.09090909090909091,0.09832500666379929,0.5041218332268975,0.0,0.20000000298023224
12,1152,-187.51237219490747,119.62814010679722,240,0,0,0.07916666666666666,0.05869732424616814,0.26095058377832175,0.0,0.1911022812128067
13,1188,-61.69994997858082,29.384743496775627,36,0,1,0.05555555555555555,0.09982392936944962,0.4273539860215452,0.0,0.18908773362636566
14,1189,19.76640720250558,0.2320641577243805,1,1,0,0.0,0.42055678367614746,0.2320641577243805,0.0,0.18903224170207977
15,1278,-139.79071267815002,110.58417683839798,89,0,1,0.24719101123595505,-0.004674995318055153,0.4110581667235728,0.0,0.1841733455657959
16,1406,-234.2794343045154,221.47741805389524,128,0,1,0.3828125,-0.0014801254728809,0.5193548285460565,0.0,0.17745912075042725
17,1509,-202.55587089018732,166.91067811474204,103,0,1,0.3592233009708738,0.000610342132858932,0.4651522147062334,0.0,0.17223767936229706
18,1545,-105.73639333674527,66.54838885366917,36,0,1,0.3333333333333333,-0.005373334512114525,0.6263441348241435,0.0,0.17045792937278748
19,1671,-156.59761974109244,114.81450745277107,126,0,1,0.16666666666666666,-0.0009825770976021886,0.3477341861331037,0.0,0.1644178330898285
20,1711,-63.08238588842162,60.161770939826965,40,0,1,0.25,-0.0017848244169726968,0.5540442734956741,0.0,0.16254660487174988
21,1735,-50.23337931628837,43.888974487781525,24,0,1,0.2916666666666667,-0.005768148228526115,0.6203739369908968,0.0,0.16144581139087677
22,1773,-70.6787107731996,56.74495901912451,38,0,1,0.2631578947368421,0.03190593048930168,0.49328839524011864,0.0,0.1597333401441574
23,1818,-129.27827891411332,62.530707612633705,45,0,1,0.24444444444444444,-0.009404092095792294,0.4784601691696379,0.0,0.1577499359846115
24,1874,-83.73447017279834,60.363078102469444,56,0,1,0.17857142857142858,0.01996881701052189,0.3993406804012401,0.0,0.1553032100200653
25,1903,-62.53093537923871,41.81241089105606,29,0,1,0.20689655172413793,0.05645359680056572,0.5452555479674503,0.0,0.15405412018299103
26,1931,-113.75723391275514,80.17185446619987,28,0,1,0.6071428571428571,-0.006780220195651054,0.7561376595071384,0.0,0.15286098420619965
